peak_radius,damping,nullspace_gain,rms_position_error,rms_orientation_error,final_position_error,peak_dq,clipped_steps,peak_condition_number,max_distance_from_home,diverged,final_joint1,final_joint2,final_joint3,final_joint4,final_joint5,final_joint6,final_joint7
0.71,0.003,0.0,0.170487,0.665429,0.430195,3.07048,1056,3120000.0,2.67247,0,0.000779173,1.74709,0.00674937,-0.0677131,0.00501358,0.219268,-0.781717
0.71,0.003,2.0,0.010069,0.0147597,0.00655598,0.16426,0,794.235,1.34825,0,1.6291e-06,0.00877172,-1.31005e-06,-1.57387,-0.000335121,1.56859,-0.785301
0.71,0.003,5.0,0.0101641,0.0147274,0.00655663,0.103185,0,327.976,1.31896,0,1.60277e-06,0.00876471,-1.28781e-06,-1.57388,-0.00033511,1.5686,-0.785301
0.71,0.005,0.0,0.169932,0.663898,0.430189,3.06079,1053,1646620.0,2.67258,0,0.000622383,1.74714,0.00670849,-0.0677198,0.00468263,0.219106,-0.782203
0.71,0.005,2.0,0.0101867,0.0147186,0.00655656,0.0973199,0,297.192,1.31378,0,1.62599e-06,0.00876609,-1.31072e-06,-1.57387,-0.000335114,1.5686,-0.785301
0.71,0.005,5.0,0.010515,0.0145853,0.00655833,0.0721437,0,133.33,1.24593,0,1.59405e-06,0.00874682,-1.28972e-06,-1.5739,-0.000335085,1.56861,-0.785301
0.71,0.01,0.0,0.167373,0.656651,0.430165,3.0115,1054,1678780.0,2.67297,0,-0.000557518,1.74735,0.00664018,-0.0677718,0.00371796,0.218371,-0.78381
0.71,0.01,2.0,0.0108903,0.0144598,0.00655921,0.064834,0,93.7716,1.19387,0,1.61154e-06,0.0087401,-1.31386e-06,-1.57392,-0.000335081,1.56861,-0.785301
0.71,0.01,5.0,0.0123209,0.0140296,0.00656586,0.0556627,0,54.3077,1.06581,0,1.554e-06,0.00866629,-1.2991e-06,-1.57403,-0.000334965,1.56866,-0.785301
0.72,0.0001,0.0,0.204451,0.70019,0.43026,72.2281,1337,75365.0,2.67142,0,0.00171342,1.74661,0.00755513,-0.0676632,0.00868332,0.220959,-0.776047
0.72,0.0001,2.0,0.201791,0.693276,0.430187,56.8575,1324,116729.0,2.67257,0,-0.000559906,1.74715,0.00674121,-0.067812,0.00783433,0.218992,-0.779794
0.72,0.0001,5.0,0.201876,0.693633,0.430182,75.2554,1325,19954.9,2.6726,0,-0.000953519,1.74717,0.00695295,-0.0678144,0.00818371,0.218921,-0.78002
0.72,0.0003,0.0,0.201732,0.69326,0.430172,22.3029,1322,58922.9,2.67284,0,5.41276e-05,1.74727,0.00658801,-0.0677423,0.00382066,0.218627,-0.783526
0.72,0.0003,2.0,0.133945,0.234525,0.00654551,23.641,119,133528.0,1.59867,0,-1.05909e-05,0.0089644,8.98027e-07,-1.57358,-0.000309814,1.5685,-0.78908
0.72,0.0003,5.0,0.209222,0.720077,0.430183,26.3928,1370,21967.3,2.67257,0,-0.000953226,1.74716,0.00693358,-0.0678134,0.00818387,0.218946,-0.779945
0.72,0.0005,0.0,0.201891,0.693906,0.430151,12.9045,1320,17575.4,2.67316,0,-8.42634e-05,1.74739,0.00635492,-0.0677491,0.00268434,0.218188,-0.785175
0.72,0.0005,2.0,0.210272,0.722983,0.430188,14.7625,1371,20338.5,2.67254,0,-0.000578131,1.74715,0.0067121,-0.0678111,0.00781604,0.219017,-0.779724
0.72,0.0005,5.0,0.114012,0.196466,0.00654553,15.0151,153,109016.0,1.57366,0,1.73019e-06,0.00896368,-1.23365e-06,-1.57359,-0.000335176,1.5685,-0.785301
0.72,0.001,0.0,0.117282,0.203745,0.00654552,6.8899,100,283513.0,1.58434,0,0.000237913,0.00896423,-0.000237822,-1.57358,-0.0003346,1.5685,-0.785302
0.72,0.001,2.0,0.108825,0.19152,0.00654554,7.91266,155,625341.0,1.57665,0,1.76015e-06,0.00896361,-1.26346e-06,-1.57359,-0.000335177,1.5685,-0.785301
0.72,0.001,5.0,0.0866354,0.155667,0.00654562,9.42002,200,210288.0,1.54689,0,1.72975e-06,0.00896275,-1.23374e-06,-1.57359,-0.000335175,1.5685,-0.785301
0.72,0.003,0.0,0.16878,0.650897,0.430192,3.07799,1016,5348130.0,2.67251,0,0.000534234,1.7471,0.00682471,-0.0677193,0.00494953,0.219214,-0.781743
0.72,0.003,2.0,0.0222623,0.0346908,0.00654586,0.815032,4,2333.82,1.41518,0,1.75848e-06,0.00896053,-1.2638e-06,-1.57359,-0.000335173,1.56851,-0.785301
0.72,0.003,5.0,0.0126048,0.0143837,0.00654658,0.157677,0,612.674,1.34227,0,1.72509e-06,0.00895288,-1.23464e-06,-1.5736,-0.000335162,1.56851,-0.785301
0.72,0.005,0.0,0.165618,0.647208,0.430197,3.06522,989,2359170.0,2.67244,0,0.000233948,1.7471,0.00691521,-0.067733,0.00533131,0.219234,-0.781299
0.72,0.005,2.0,0.0126206,0.0143764,0.00654649,0.145535,0,552.899,1.33939,0,1.75514e-06,0.0089544,-1.26447e-06,-1.5736,-0.000335166,1.56851,-0.785301
0.72,0.005,5.0,0.0128576,0.0142638,0.00654845,0.0971485,0,230.764,1.29806,0,1.71584e-06,0.00893336,-1.23649e-06,-1.57363,-0.000335136,1.56852,-0.785301
0.72,0.01,0.0,0.163176,0.640169,0.430184,3.0165,992,1795150.0,2.67261,0,-0.000731173,1.74723,0.00697517,-0.0677817,0.00512254,0.218784,-0.781799
0.72,0.01,2.0,0.0131671,0.0141539,0.0065494,0.0813948,0,151.289,1.26074,0,1.73964e-06,0.00892605,-1.26764e-06,-1.57365,-0.000335132,1.56853,-0.785301
0.72,0.01,5.0,0.0145224,0.0137479,0.00655677,0.0640289,0,73.6469,1.14608,0,1.67337e-06,0.00884549,-1.24555e-06,-1.57377,-0.000335015,1.56858,-0.785301
